HEADER,TEXT,COUNT,
y,Alcohol,1,
y,Benzodiazapines,1,
y,Central Nervous System (CNS) Depressants,1,
y,Clinical Comment,2,
y,Clinical Comment ,1,
y,Comments,3,
y,Comments ,8,
y,Dosing Recommendations,1,
y,Drug(s) Affecting Pharmacokinetics of CIPRO XR,3,
y,Drugs That are Affected by CIPRO,2,
y,Drugs That are Affected by CIPRO ,3,
y,Drugs That are Affected by Ciprofloxacin,18,
y,Effect on concentration of Nevirapine or Concomitant drug,2,
y,Effect on Concentration of Nevirapine or Concomitant Drug ,1,
,Ibuprofen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of ibuprofen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone.Serotonin release by platelets plays an important role in hemostasis. Case-control and cohort epidemiological studies showed that concomitant use of drugs that interfere with serotonin reuptake and an NSAID may potentiate the risk of bleeding more than an NSAID alone.,1,
y,Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly,1,
y,Oral drugs that are to be separated from Velphoro and meals,1,
y,Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renagel,1,
y,Recommendation,6,
y,Recommendation ,6,
,Refrigerated(4¡C),2,
,Storage,4,
,"Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. ",2,
,"Table 1	Oral drugs that can be administered concomitantly with Velphoro",1,
y,Effect**,1,
,Table II. Clinically Significant Drug Interactions With Theophylline*,2,
,Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*,1,
y,Type Of Interaction,1,
y,AnticonvulsantsÊ,1,
y,Drugs that alter thyroid hormone secretion,15,
y,"Drugs that may decrease T\4 \absorption, which may result in hypothyroidism",15,
y,"Drugs that may decrease thyroid hormone secretion, which may result in hypothyroidism",15,
y,"Drugs that may increase thyroid hormone secretion, which may result in hyperthyroidism",15,
y,"Drugs that may reduce TSH secretion - the reduction is not sustained; therefore, hypothyroidism does not occur",15,
y,Effect,16,
y,Effect**,2,
y,HIV Antiviral Agents,10,
y,Other Drugs/Dietary Supplements\Ê,1,
y,PrescribingÊRecommendationsÊ ,2,
y,PrescribingÊRecommendationsÊÊ,1,
y,Type Of Interaction,2,
y,% Change of Co-administered Drug Pharmacokinetic Parameters (90% CI),9,
,% Change of CoadministeredDrug Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.\All studies conducted in healthy volunteers at least 60 kg with creatinine clearance of at least 60 mL/min.,2,
,% Change of Coadministered DrugPharmacokinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,% Change of Didanosine Pharmacokeinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,% Change of Didanosine Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.,2,
,12 to 18 years(n=6),1,
,2 to <6\years(n=12),1,
,6 to <12\years(n=8),1,
y,Antiretrovirals,4,
,Atazanavir 300 mg/100 mg?28 (?40 to ?14),1,
